id,latitude,longitude
92956,21.459325,-157.973881
92955,21.304849,-157.857747
92953,51.506426,-0.127183
92951,25.277668,55.361976
92946,41.8905198,12.4942486
92945,1.9123,73.540087
92943,6.958096,79.849135
92942,37.506089,-122.486852
92940,7.608598,80.703989
92939,37.994368,-121.625035
92938,7.641643,80.691979
92936,22.058039,-159.524328
92935,1.9123,73.540087
92934,37.805073,-122.273062
92933,7.641643,80.691979
92932,26.754506,-82.260374
92931,7.641643,80.691979
92929,1.9123,73.540087
92928,1.9123,73.540087
92927,1.9123,73.540087
92925,1.9123,73.540087
92923,43.782364,11.254983
92922,1.9123,73.540087
92921,43.782364,11.254983
92920,1.9123,73.540087
92912,1.9123,73.540087
92911,34.073686,-118.398763
92909,44.132304,9.704608
92908,23.940526,-102.526304
92907,21.304849,-157.857747
92906,21.459325,-157.973881
92905,40.387689,-3.557382
92904,21.459325,-157.973881
92903,21.459325,-157.973881
92902,51.045,-114.0572222
92901,33.476374,-115.888834
92900,32.505804,-80.804035
92899,20.230235,-155.796185
92898,21.459325,-157.973881
92897,41.458666,-123.184286
92894,-13.562777,31.541017
92893,-17.843392,25.860745
92890,-37.677338,148.767703
92887,-13.562777,31.541017
92886,7.799843,124.153173
92885,-15.414912,28.280888
92883,7.045157,125.536084
92882,-15.414912,28.280888
92877,48.683167,-113.799721
92876,23.940526,-102.526304
92873,49.113105,-113.841079
92872,23.940526,-102.526304
92861,22.058039,-159.524328
92859,21.904404,-159.464977
92855,21.0333333,105.85
92847,-34.608507,-58.373488
92846,-43.94792,170.50272
92813,-16.919588,145.773708
92809,-17.739649,177.466317
92807,-16.919588,145.773708
92806,35.68321,139.808949
92801,-16.919588,145.773708
92796,-16.919588,145.773708
92795,22.457732,114.004806
92794,-17.833008,177.966112
92792,-17.833008,177.966112
92790,-23.777438,151.323923
92787,-16.919588,145.773708
92786,8.531663,-80.134925
92784,-17.833008,177.966112
92783,20.879322,-156.476372
92782,20.791154,-156.338121
92781,20.791154,-156.338121
92779,39.001989,-120.734715
92775,51.504604,-0.171488
92774,9.425386,-84.161695
92771,21.459325,-157.973881
92770,20.790614,-156.33689
92769,32.505804,-80.804035
92768,21.459325,-157.973881
92766,20.790614,-156.33689
92763,38.298853,-122.285216
92758,33.44826,-112.075764
92757,43.529151,12.16203
92756,41.903044,12.495799
92755,9.425386,-84.161695
92754,13.994143,-61.006863
92752,-34.257533,18.456112
92748,-33.919089,18.421985
92740,38.23247,-122.644435
92731,18.225063,-66.478906
92725,20.878157,-156.677666
92724,22.058039,-159.524328
92723,22.058173,-159.524463
92721,10.208216,-84.163186
92720,22.058173,-159.524463
92719,20.790614,-156.33689
92718,20.790614,-156.33689
92709,12.052462,-61.742413
92708,37.789534,-122.408663
92706,12.113931,-61.68378
92705,22.058039,-159.524328
92702,22.058173,-159.524463
92701,22.058039,-159.524328
92696,34.087297,-93.440708
92695,17.158403,-62.615746
92691,12.113931,-61.68378
92689,55.450236,10.942423
92680,33.943297,-118.408114
92668,-1.582633,116.048528
92665,35.732614,-78.853181
92664,-8.354976,115.115897
92660,39.834906,-104.667107
92659,37.768443,-122.467709
92658,17.200542,-88.707071
92657,40.760305,-111.888214
92655,39.834906,-104.667107
92653,37.869876,-122.270538
92652,17.200542,-88.707071
92650,51.132435,-114.004923
92649,42.488278,-88.433148
92646,17.200542,-88.707071
92645,37.976146,23.736409
92636,37.74669,-119.585078
92633,37.74669,-119.585078
92630,17.200542,-88.707071
92629,37.976146,23.736409
92627,54.582366,-0.974187
92626,35.188813,-114.055426
92625,35.691674,-105.937953
92624,36.056785,-112.137209
92623,20.791154,-156.338121
92622,13.361185,103.861048
92619,20.878157,-156.677666
92618,20.794187,-156.484124
92616,20.790614,-156.33689
92615,22.058173,-159.524463
92614,22.058173,-159.524463
92612,59.179666,-2.818285
92611,59.179666,-2.818285
92610,22.058173,-159.524463
92609,22.044925,-159.350864
92608,59.179666,-2.818285
92607,22.058173,-159.524463
92606,21.459325,-157.973881
92605,22.058039,-159.524328
92604,22.058039,-159.524328
92603,20.790614,-156.33689
92600,35.022455,-109.806871
92599,35.691674,-105.937953
92598,37.472904,-122.139545
92597,35.691674,-105.937953
92596,46.276787,6.031495
92586,43.459561,11.135813
92585,43.529151,12.16203
92582,43.529151,12.16203
92579,41.767924,-87.741831
92578,45.438108,12.318166
92576,39.304045,-74.591601
92575,15.077911,-23.63543
92574,39.304045,-74.591601
92573,35.551507,-97.40721
92572,30.291759,-87.582686
92571,-6.176838,39.223913
92569,-6.176838,39.223913
92565,12.710887,104.916856
92562,11.552269,104.876908
92560,11.552269,104.876908
92559,11.552269,104.876908
92558,1.9123,73.540087
92556,11.552269,104.876908
92554,10.628553,103.508918
92548,13.361185,103.861048
92547,39.750065,-121.607716
92546,36.398259,25.436166
92544,13.407525,103.818351
92523,52.373085,4.893276
92513,21.304849,-157.857747
92509,21.459325,-157.973881
92508,21.459325,-157.973881
92507,36.056785,-112.137209
92505,22.058039,-159.524328
92504,-35.296638,-71.228129
92503,22.058173,-159.524463
92502,22.058173,-159.524463
92501,20.878157,-156.677666
92499,32.505804,-80.804035
92498,22.058039,-159.524328
92497,37.472904,-122.139545
92496,22.058039,-159.524328
92495,20.790614,-156.33689
92494,21.459325,-157.973881
92491,41.903044,12.495799
92488,10.542866,-84.452722
92485,35.4151,-91.600805
92484,20.790614,-156.33689
92483,33.369756,-111.919951
